time,velocity_x,velocity_y,velocity_z,altitude,fom,covariance_1_1,covariance_1_2,covariance_1_3,covariance_2_1,covariance_2_2,covariance_2_3,covariance_3_1,covariance_3_2,covariance_3_3
2026-05-19-09-17-04,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-04,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-05,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-05,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-05,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-05,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-05,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-05,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-06,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-06,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-06,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-07,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-07,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-07,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-07,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-07,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-07,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-08,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-08,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-08,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-08,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-09,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-09,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-09,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-09,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-09,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-09,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
2026-05-19-09-17-10,0.000000,0.000000,0.000000,-1.000000,10.000000,100.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,100.000000
